번호,시스템,업무구분,검증구분,테이블명,테이블ID,컬럼명,컬럼ID,pk,FK,NN,데이터타입,도메인소분류,도메인명,전체건수,오류건수,오류율,점검일시,오류데이터
128,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,현지언어국가명,acplc_lngg_ntn_nm,N,N,N,VARCHAR(40),,,371,371,1.0,2023-07-03 14:24:12,SGP
129,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,영문국가명,engls_ntn_nm,N,N,N,VARCHAR(40),,,371,371,1.0,2023-07-03 14:24:12,SGP
130,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,국가언어코드값,ntn_lngg_cd_val,N,N,N,VARCHAR(3),,,371,371,1.0,2023-07-03 14:24:12,sgp
131,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,현지언어언어명,acplc_lngg_lngg_nm,N,N,N,VARCHAR(12),,,371,371,1.0,2023-07-03 14:24:12,English
132,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,영문언어명,engls_lngg_nm,N,N,N,VARCHAR(40),,,371,371,1.0,2023-07-03 14:24:12,English
133,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,현지언어한줄소개내용,acplc_lngg_oln_intrd_cont,N,N,N,VARCHAR(400),,,371,19,0.051,2023-07-03 14:24:12,BURGER KING® is the worlds second largest fast-food hamburger chain
134,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,현지언어기업소개내용,acplc_lngg_entrp_intrd_cont,N,N,N,VARCHAR(4000),,,371,19,0.051,2023-07-03 14:24:12,BURGER KING® is the worlds second largest fast-food hamburger chain
135,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,대표팩스번호,rprsn_fxno,N,N,N,VARCHAR(50),,,371,28,0.075,2023-07-03 14:24:12,(65)
136,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,기업홈페이지URL,entrp_hmpg_url,N,N,N,VARCHAR(700),,,371,27,0.073,2023-07-03 14:24:12,http://www.mcdonalds.com.sg
137,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,기업홈페이지URL,entrp_hmpg_url,N,N,N,VARCHAR(700),,,371,22,0.059,2023-07-03 14:24:12,http://www.burgerking.com.sg
138,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,현지언어산업군명,acplc_lngg_indst_gnnm,N,N,N,VARCHAR(100),,,371,187,0.504,2023-07-03 14:24:12,Food & DrinkFood & Drink / Restaurants
139,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,현지언어산업군명,acplc_lngg_indst_gnnm,N,N,N,VARCHAR(100),,,371,86,0.232,2023-07-03 14:24:12,Food & DrinkFood & Drink / RestaurantsFood & Drink / Restaurants / Fast Food
140,공통,헤브론스타,중복,싱가포르 일반 기업정보 데이터,tb_hb_sgp_egnin_m,현지언어산업군명,acplc_lngg_indst_gnnm,N,N,N,VARCHAR(100),,,371,23,0.062,2023-07-03 14:24:12,Food & DrinkFood & Drink / RestaurantsFood & Drink / Restaurants / Chinese Restaurants
141,공통,헤브론스타,중복,태국 일반 기업정보 데이터,tb_hb_tha_egnin_m,현지언어국가명,acplc_lngg_ntn_nm,N,N,N,VARCHAR(40),,,847,847,1.0,2023-07-03 14:24:12,THA
142,공통,헤브론스타,중복,태국 일반 기업정보 데이터,tb_hb_tha_egnin_m,영문국가명,engls_ntn_nm,N,N,N,VARCHAR(40),,,847,847,1.0,2023-07-03 14:24:12,THA
143,공통,헤브론스타,중복,태국 일반 기업정보 데이터,tb_hb_tha_egnin_m,국가언어코드값,ntn_lngg_cd_val,N,N,N,VARCHAR(3),,,847,847,1.0,2023-07-03 14:24:12,tha
144,공통,헤브론스타,중복,태국 일반 기업정보 데이터,tb_hb_tha_egnin_m,현지언어언어명,acplc_lngg_lngg_nm,N,N,N,VARCHAR(12),,,847,847,1.0,2023-07-03 14:24:12,Thai
145,공통,헤브론스타,중복,태국 일반 기업정보 데이터,tb_hb_tha_egnin_m,영문언어명,engls_lngg_nm,N,N,N,VARCHAR(40),,,847,847,1.0,2023-07-03 14:24:12,Thai
146,공통,헤브론스타,중복,태국 일반 기업정보 데이터,tb_hb_tha_egnin_m,현지언어산업군명,acplc_lngg_indst_gnnm,N,N,N,VARCHAR(100),,,847,110,0.13,2023-07-03 14:24:12,Business ServicesBusiness Services / Products
147,공통,헤브론스타,중복,태국 일반 기업정보 데이터,tb_hb_tha_egnin_m,현지언어산업군명,acplc_lngg_indst_gnnm,N,N,N,VARCHAR(100),,,847,81,0.096,2023-07-03 14:24:12,Business ServicesBusiness Services / General Business
148,공통,헤브론스타,중복,태국 일반 기업정보 데이터,tb_hb_tha_egnin_m,현지언어산업군명,acplc_lngg_indst_gnnm,N,N,N,VARCHAR(100),,,847,51,0.06,2023-07-03 14:24:12,Manufacturing & IndustryManufacturing & Industry / Farming
149,공통,헤브론스타,중복,미국 일반 기업정보 데이터,tb_hb_usa_egnin_m,현지언어국가명,acplc_lngg_ntn_nm,N,N,N,VARCHAR(40),,,1976,1976,1.0,2023-07-03 14:24:12,USA
150,공통,헤브론스타,중복,미국 일반 기업정보 데이터,tb_hb_usa_egnin_m,영문국가명,engls_ntn_nm,N,N,N,VARCHAR(40),,,1976,1976,1.0,2023-07-03 14:24:12,USA
151,공통,헤브론스타,중복,미국 일반 기업정보 데이터,tb_hb_usa_egnin_m,국가언어코드값,ntn_lngg_cd_val,N,N,N,VARCHAR(3),,,1976,1976,1.0,2023-07-03 14:24:12,USA
152,공통,헤브론스타,중복,미국 일반 기업정보 데이터,tb_hb_usa_egnin_m,현지언어언어명,acplc_lngg_lngg_nm,N,N,N,VARCHAR(12),,,1976,1976,1.0,2023-07-03 14:24:12,English
153,공통,헤브론스타,중복,미국 일반 기업정보 데이터,tb_hb_usa_egnin_m,영문언어명,engls_lngg_nm,N,N,N,VARCHAR(40),,,1976,1976,1.0,2023-07-03 14:24:12,English
154,공통,헤브론스타,중복,미국 일반 기업정보 데이터,tb_hb_usa_egnin_m,현지언어기업주소,acplc_lngg_entrp_addr,N,N,N,VARCHAR(200),,,1976,1975,0.999,2023-07-03 14:24:12,New York
155,공통,헤브론스타,중복,미국 일반 기업정보 데이터,tb_hb_usa_egnin_m,영문기업주소,engls_entrp_addr,N,N,N,VARCHAR(200),,,1976,1975,0.999,2023-07-03 14:24:12,New York
156,공통,헤브론스타,중복,베트남 일반 기업정보 데이터,tb_hb_vnm_egnin_m,현지언어국가명,acplc_lngg_ntn_nm,N,N,N,VARCHAR(40),,,985,985,1.0,2023-07-03 14:24:12,VNM
157,공통,헤브론스타,중복,베트남 일반 기업정보 데이터,tb_hb_vnm_egnin_m,영문국가명,engls_ntn_nm,N,N,N,VARCHAR(40),,,985,985,1.0,2023-07-03 14:24:12,VNM
158,공통,헤브론스타,중복,베트남 일반 기업정보 데이터,tb_hb_vnm_egnin_m,국가언어코드값,ntn_lngg_cd_val,N,N,N,VARCHAR(3),,,985,985,1.0,2023-07-03 14:24:12,vnm
159,공통,헤브론스타,중복,베트남 일반 기업정보 데이터,tb_hb_vnm_egnin_m,현지언어언어명,acplc_lngg_lngg_nm,N,N,N,VARCHAR(12),,,985,985,1.0,2023-07-03 14:24:12,Vietnamese
160,공통,헤브론스타,중복,베트남 일반 기업정보 데이터,tb_hb_vnm_egnin_m,영문언어명,engls_lngg_nm,N,N,N,VARCHAR(40),,,985,985,1.0,2023-07-03 14:24:12,Vietnamese
